INSERT INTO main_employee (name, second_name, third_name, post_id, b_day, personal_num, phone_number, address, group_num, family_status, place_of_bd, appointment_order_num, appointment_order_date, rank_id)
VALUES
('Ульян', 'Трофимов', 'Викентьевич', 1, '1988-02-22', 'Н-658075', '+75152492858', 'ст. Рыбинск, пр. Механический, д. 841 к. 6/6, 262510', '-', 'холост', 'г. Владивосток', '514', '2010-11-26', 11),
('Филипп', 'Кудрявцев', 'Бенедиктович', 3, '1982-02-18', 'В-466420', '+75731176725', 'клх Саранск, наб. Курская, д. 14, 214774', 'Группа 2', 'разведен', 'с. Грозный', '224', '2022-03-29', 7),
('Лавр', 'Логинов', 'Чеславович', 4, '2002-04-07', 'Я-882538', '+71674843734', 'клх Углегорск, пр. Л.Толстого, д. 2 стр. 3/8, 612885', 'Группа 3', 'холост', 'д. Лянтор', '979', '2013-02-03', 8),
('Харлампий', 'Родионов', 'Денисович', 5, '1988-03-12', 'Н-324384', '+77531946288', 'д. Игнашино, пр. Карбышева, д. 1, 030018', 'Группа 3', 'холост', 'с. Нижний Новгород', '134', '2015-10-20', 2),
('Ермил', 'Белов', 'Демидович', 5, '2002-08-19', 'А-85502', '+73319564236', 'п. Стерлитамак, алл. Ермака, д. 4/7 стр. 3/3, 338638', 'Группа 3', 'холост', 'д. Североуральск', '293', '2019-08-14', 6),
('Илья', 'Доронин', 'Всеволодович', 5, '1975-08-03', 'Е-646937', '+72715233961', 'клх Тутончаны, пр. Новостройка, д. 7 стр. 5/9, 840590', 'Группа 3', 'разведен', 'п. Забайкальск', '662', '2016-10-16', 4),
('Григорий', 'Лыткин', 'Терентьевич', 5, '1975-03-15', 'П-800727', '+78466231156', 'г. Усть-Ишим, алл. Дальняя, д. 644 стр. 58, 758173', 'Группа 3', 'холост', 'п. Вендинга', '934', '2020-07-10', 4),
('Аникей', 'Веселов', 'Жанович', 5, '1985-11-16', 'Я-545465', '+79829374496', 'ст. Северобайкальск, пер. Кузнецкий, д. 834 к. 88, 514518', 'Группа 3', 'женат', 'клх Юрьевец (Иван.)', '447', '2012-01-25', 3),
('Флорентин', 'Некрасов', 'Евсеевич', 5, '2004-03-03', 'З-137628', '+77798457396', 'к. Мостовской, бул. Щербакова, д. 554 к. 660, 611658', 'Группа 3', 'холост', 'клх Тура', '368', '2012-01-17', 4),
('Ерофей', 'Якушев', 'Викентьевич', 5, '1984-11-17', 'Ж-401381', '+73579782166', 'г. Славянск-на-Кубани, пер. Владимирский, д. 9/7 стр. 8/2, 824113', 'Группа 3', 'разведен', 'с. Новый Уренгой', '988', '2019-05-16', 5),
('Владлен', 'Жуков', 'Феликсович', 5, '1976-02-28', 'И-680322', '+79723468244', 'с. Снежинск, ш. Тельмана, д. 906 стр. 681, 620104', 'Группа 3', 'разведен', 'п. Сортавала', '152', '2018-03-13', 1),
('Радим', 'Егоров', 'Игнатьевич', 5, '1996-02-17', 'Ч-45503', '+76198898927', 'к. Октябрьское (Челяб.), ш. Рабочее, д. 3/6 стр. 3/1, 473214', 'Группа 3', 'холост', 'с. Черняховск', '339', '2022-02-04', 3),
('Карп', 'Мясников', 'Ефимович', 5, '2005-05-19', 'Н-592734', '+71186514528', 'д. Чикола, пер. Тихий, д. 5 к. 5, 464336', 'Группа 3', 'разведен', 'д. Шатура', '883', '2015-04-30', 7),
('Станимир', 'Вишняков', 'Ерофеевич', 5, '2004-04-10', 'И-410153', '+79337591134', 'д. Серебряные Пруды, ул. Портовая, д. 939 стр. 715, 799643', 'Группа 3', 'разведен', 'г. Беслан', '149', '2012-03-05', 7),
('Евграф', 'Гришин', 'Вячеславович', 5, '1997-03-05', 'К-142866', '+76291637678', 'г. Мезень, наб. 8 Марта, д. 352, 773557', 'Группа 3', 'разведен', 'д. Мыс Шмидта', '562', '2016-11-07', 7),
('Осип', 'Ефремов', 'Авдеевич', 5, '2000-04-04', 'М-993344', '+79451661426', 'ст. Королев, ш. Воровского, д. 1/4, 587323', 'Группа 3', 'женат', 'к. Тамбей', '153', '2019-02-23', 7),
('Панфил', 'Селиверстов', 'Витальевич', 5, '1974-09-22', 'Н-214199', '+77612659392', 'к. Шамары, ул. Осипенко, д. 1 к. 58, 224571', 'Группа 3', 'женат', 'клх Якутск', '889', '2019-07-01', 2),
('Эрнест', 'Аксенов', 'Жанович', 5, '1993-07-24', 'Ю-876222', '+74967454483', 'клх Курганинск, пр. Л.Толстого, д. 18 к. 4/2, 085972', 'Группа 3', 'женат', 'п. Улан-Удэ', '864', '2019-11-11', 3),
('Евлампий', 'Жуков', 'Иосипович', 5, '1981-04-12', 'Н-194336', '+75341192731', 'п. Урюпинск, наб. Республиканская, д. 7/1 стр. 4, 328075', 'Группа 3', 'холост', 'п. Токма', '384', '2018-06-14', 2),
('Зиновий', 'Емельянов', 'Владиславович', 5, '1997-11-28', 'К-114735', '+73893974389', 'с. Тутаев, наб. Тимирязева, д. 7 стр. 384, 574839', 'Группа 3', 'женат', 'г. Нефтеюганск', '549', '2021-12-11', 4),
('Савва', 'Поляков', 'Егорович', 3, '1991-02-07', 'Ш-148089', '+71641329885', 'п. Ербогачен, алл. Жукова, д. 141, 126196', 'Группа 3', 'разведен', 'г. Псков', '338', '2018-06-16', 8),
('Аверьян', 'Блохин', 'Данилович', 4, '1992-08-14', 'Е-587707', '+73944915395', 'клх Мичуринск, ш. Тургенева, д. 350 стр. 59, 743761', 'Группа 4', 'разведен', 'п. Пушкин', '435', '2012-06-08', 7),
('Степан', 'Лобанов', 'Ануфриевич', 5, '1979-09-14', 'Х-433955', '+77842616796', 'г. Середниково, наб. Крупской, д. 469, 058150', 'Группа 4', 'холост', 'клх Комсомольск-на-Амуре', '625', '2011-11-21', 3),
('Ратмир', 'Васильев', 'Эдгарович', 5, '2004-11-19', 'Н-739017', '+71663378637', 'п. Миллерово, наб. Курортная, д. 433 к. 2, 021086', 'Группа 4', 'холост', 'д. Лагань', '294', '2019-08-05', 6),
('Петр', 'Суворов', 'Тарасович', 5, '1981-03-02', 'Б-873653', '+77956246952', 'д. Видное, ш. Красное, д. 3, 537888', 'Группа 4', 'женат', 'к. Рязань', '721', '2020-10-14', 4),
('Арсений', 'Терентьев', 'Владиславович', 5, '1975-04-08', 'Л-922034', '+71315886894', 'клх Ведено, алл. Высоцкого, д. 5 к. 7, 355709', 'Группа 4', 'холост', 'ст. Ребриха', '357', '2013-05-28', 6),
('Святослав', 'Комиссаров', 'Давыдович', 5, '1990-12-20', 'О-507502', '+77512757733', 'п. Сунтар, ул. Коммунаров, д. 699 к. 9/5, 403710', 'Группа 4', 'женат', 'г. Буденновск', '246', '2011-03-21', 1),
('Савватий', 'Сазонов', 'Харлампьевич', 5, '2001-02-07', 'Т-732592', '+74472897268', 'клх Кежма, наб. Р.Люксембург, д. 39 к. 7, 177343', 'Группа 4', 'женат', 'ст. Челябинск', '151', '2018-02-21', 4),
('Доброслав', 'Воронцов', 'Геннадиевич', 5, '2001-05-20', 'Б-166585', '+73347265484', 'с. Сызрань, ш. Запорожское, д. 3/6 к. 3, 271033', 'Группа 4', 'женат', 'д. Югорск', '496', '2013-07-12', 6),
('Милий', 'Михайлов', 'Глебович', 5, '1999-10-09', 'А-842485', '+74919624391', 'ст. Губкинский, ш. Покровское, д. 40 стр. 435, 111671', 'Группа 4', 'разведен', 'д. Кош-Агач', '157', '2021-06-05', 4),
('Остап', 'Тимофеев', 'Еремеевич', 5, '1980-04-07', 'Щ-661734', '+77191918331', 'клх Мурманск, пр. Депутатский, д. 3, 401257', 'Группа 4', 'холост', 'к. Сургут (Хант.)', '198', '2019-09-01', 2),
('Фома', 'Ширяев', 'Филиппович', 5, '1985-02-27', 'Ч-44474', '+72656866687', 'клх Лотошино, пр. Достоевского, д. 873 стр. 243, 287514', 'Группа 4', 'холост', 'клх Шилка', '879', '2011-11-08', 1),
('Феликс', 'Гордеев', 'Афанасьевич', 5, '1982-07-13', 'Д-139588', '+72637746275', 'д. Рязань, бул. Ленина, д. 933 к. 644, 277581', 'Группа 4', 'женат', 'с. Павловский Посад', '752', '2021-09-26', 6),
('Ираклий', 'Воробьев', 'Ерофеевич', 5, '1974-01-20', 'Г-295570', '+77647868178', 'п. Приморско-Ахтарск, пер. Коммунальный, д. 878, 751815', 'Группа 4', 'женат', 'клх Пятигорск', '697', '2015-11-23', 6),
('Эдуард', 'Шашков', 'Валерьевич', 5, '1999-02-04', 'С-424902', '+77648111441', 'д. Карпинск, наб. Рылеева, д. 8 к. 76, 655092', 'Группа 4', 'женат', 'ст. Балашиха', '312', '2020-05-18', 4),
('Валентин', 'Блинов', 'Изотович', 5, '1979-05-30', 'Б-905408', '+72892988298', 'клх Петушки, наб. Орджоникидзе, д. 207 к. 9/2, 583001', 'Группа 4', 'женат', 'п. Хатанга', '177', '2013-06-04', 3),
('Евстигней', 'Мухин', 'Марсович', 5, '1983-10-08', 'Б-499004', '+71423234958', 'с. Серафимович, ул. Северная, д. 3/7 к. 1, 874459', 'Группа 4', 'холост', 'д. Великие Луки', '929', '2015-11-25', 5),
('Мариан', 'Никитин', 'Виленович', 5, '1988-03-21', 'Х-433447', '+78453233335', 'с. Поярково, пер. Сплавный, д. 9/1 к. 3/2, 637973', 'Группа 4', 'разведен', 'клх Улан-Удэ', '931', '2018-04-06', 1),
('Доброслав', 'Громов', 'Жанович', 5, '1985-07-15', 'Ж-153114', '+71513716339', 'с. Курск, ш. Шишкина, д. 5, 756292', 'Группа 4', 'разведен', 'д. Калач', '535', '2018-06-05', 4),
('Назар', 'Филатов', 'Ануфриевич', 3, '1975-05-23', 'К-521351', '+72961787551', 'ст. Ардон, ш. Шоссейное, д. 487 стр. 6, 801504', 'Группа 4', 'женат', 'ст. Пятигорск', '519', '2014-10-27', 7),
('Филипп', 'Марков', 'Димитриевич', 4, '2000-03-13', 'У-583878', '+77884188674', 'д. Карпинск, бул. Кирпичный, д. 8 к. 653, 907512', 'Группа 5', 'холост', 'г. Курчатов', '315', '2018-08-20', 8),
('Тит', 'Ковалев', 'Игоревич', 5, '1996-08-23', 'М-555923', '+75537736437', 'п. Верхнее Пенжино, бул. Трудовой, д. 8/2 к. 70, 696932', 'Группа 5', 'разведен', 'г. Астрахань', '529', '2014-07-17', 3),
('Ананий', 'Белоусов', 'Глебович', 5, '2001-11-17', 'М-422778', '+76543711642', 'ст. Меренга, ш. Ягодное, д. 13, 061675', 'Группа 5', 'разведен', 'г. Билибино', '421', '2022-04-10', 7),
('Феоктист', 'Хохлов', 'Вячеславович', 5, '1996-01-30', 'А-497636', '+75685946281', 'д. Ухта, пер. Комсомольский, д. 720 стр. 75, 240876', 'Группа 5', 'разведен', 'п. Старый Оскол', '987', '2019-08-13', 3),
('Софрон', 'Владимиров', 'Архипович', 5, '1988-10-13', 'И-965036', '+74954181517', 'клх Югорск, пер. Спортивный, д. 380 стр. 77, 402238', 'Группа 5', 'разведен', 'г. Талдом', '756', '2013-10-04', 7),
('Михаил', 'Емельянов', 'Всеволодович', 5, '1998-10-24', 'Ч-845189', '+75656423695', 'клх Александровск-Сахалинский, ул. Базарная, д. 558 к. 224, 802374', 'Группа 5', 'разведен', 'с. Шахты', '612', '2013-08-02', 7),
('Игнатий', 'Максимов', 'Эдгарович', 5, '1991-11-20', 'Я-175100', '+71182885547', 'п. Котлас, пер. Сенной, д. 1/2, 744448', 'Группа 5', 'разведен', 'п. Снежногорск (Мурм.)', '444', '2020-06-16', 5),
('Ипат', 'Новиков', 'Вячеславович', 5, '1985-12-07', 'Т-8539', '+76893972719', 'к. Югорск, ш. Коминтерна, д. 1/7 к. 1, 553530', 'Группа 5', 'женат', 'к. Хабаровск', '923', '2020-04-12', 1),
('Владилен', 'Дементьев', 'Виленович', 5, '1977-03-22', 'К-120154', '+78611187883', 'с. Славянск-на-Кубани, пр. Механизаторов, д. 4/4, 649421', 'Группа 5', 'холост', 'ст. Невьянск', '134', '2012-01-20', 3),
('Родион', 'Мухин', 'Андреевич', 5, '1981-06-26', 'Ж-362808', '+79451634126', 'с. Зеленоград, бул. Ушакова, д. 338, 060715', 'Группа 5', 'разведен', 'г. Урус-Мартан', '138', '2019-12-24', 6),
('Януарий', 'Панов', 'Терентьевич', 5, '2001-05-26', 'И-616666', '+73752697264', 'г. Калязин, ш. Брянское, д. 81 к. 375, 846559', 'Группа 5', 'холост', 'п. Красновишерск', '442', '2014-08-23', 6),
('Измаил', 'Кулаков', 'Демьянович', 5, '1975-06-05', 'П-88339', '+73525126976', 'ст. Орск, алл. Придорожная, д. 13 стр. 3, 673988', 'Группа 5', 'разведен', 'к. Бирск', '927', '2016-12-10', 3),
('Галактион', 'Кондратьев', 'Витальевич', 5, '1987-12-29', 'Ю-272199', '+75785286789', 'клх Листвянка (Иркут.), бул. Путевой, д. 75 стр. 2, 356348', 'Группа 5', 'женат', 'ст. Верхотурье', '414', '2014-12-29', 3),
('Григорий', 'Рыбаков', 'Юльевич', 5, '2001-03-12', 'Н-398671', '+76891583614', 'с. Сунтар, наб. Автомобилистов, д. 5 к. 35, 259692', 'Группа 5', 'холост', 'п. Завьялиха', '462', '2011-07-13', 5),
('Юрий', 'Исаков', 'Чеславович', 5, '1980-05-12', 'Л-60028', '+72778974614', 'г. Уренгой, пр. Космодемьянской, д. 55, 359830', 'Группа 5', 'женат', 'ст. Уренгой', '333', '2018-04-19', 5),
('Феоктист', 'Дмитриев', 'Евсеевич', 5, '1992-02-08', 'У-206508', '+75599972643', 'к. Нижнеудинск, пр. Серова, д. 5 стр. 16, 215615', 'Группа 5', 'женат', 'г. Валаам', '998', '2017-07-12', 7),
('Артем', 'Дорофеев', 'Харлампович', 5, '1988-07-12', 'В-435138', '+78584863648', 'клх Нефедова, ш. Плеханова, д. 897 стр. 55, 853683', 'Группа 5', 'женат', 'д. Змеиногорск', '189', '2016-12-25', 3),
('Емельян', 'Григорьев', 'Устинович', 5, '1994-05-06', 'Э-821614', '+79663312135', 'п. Белокуриха, алл. Народная, д. 905, 718019', 'Группа 5', 'холост', 'п. Челябинск', '288', '2017-12-06', 1);
